_raw,_time,c_ip,change_type,cs_method,cs_mime_type,cs_url,cs_username,date_hour,date_mday,date_minute,date_month,date_second,date_wday,date_year,date_zone,end_time,eventtype,host,index,linecount,punct,s_hierarchy,s_hostname,sc_bytes,sc_http_status,sc_result_code,severity,source,sourcetype,splunk_server,src_ip,tag,tag::eventtype,tag::host,timeendpos,timestartpos,usage,x_acltag,x_mcafee_virus_name,x_wbrs_score,x_webcat_code_abbr,x_webcat_code_full,x_webroot_threat_name
"1374696023.95 3862 74.125.19.106 TCP_DENIED/403 2556 GET http://teenchickas.com/0.gif gzuyeva@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-07-24T13:00:23.950-0700,74.125.19.106,,GET,-,http://teenchickas.com/0.gif,gzuyeva@buttercupgames.com,20,24,0,july,23,wednesday,2013,0,1374696024,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-,-,-,-,-,-,-,-,",NONE,-,2556,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,74.125.19.106,,,,13,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1374692931.95 3862 123.196.113.11 TCP_DENIED/403 2556 GET http://teenchickas.com/0.gif pbunch@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-07-24T12:08:51.950-0700,123.196.113.11,,GET,-,http://teenchickas.com/0.gif,pbunch@buttercupgames.com,19,24,8,july,51,wednesday,2013,0,1374692932,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-,-,-,-,-,-,-,-,",NONE,-,2556,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,123.196.113.11,,,,13,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1374689825.95 3862 125.89.78.6 TCP_DENIED/403 2556 GET http://teenchickas.com/0.gif dhale@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-07-24T11:17:05.950-0700,125.89.78.6,,GET,-,http://teenchickas.com/0.gif,dhale@buttercupgames.com,18,24,17,july,5,wednesday,2013,0,1374689826,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-,-,-,-,-,-,-,-,",NONE,-,2556,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,125.89.78.6,,,,13,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1374671438.700 181 91.210.104.143 TCP_DENIED/403 2539 GET http://topyn.com/ips.txt npearce@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,-6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-24T06:10:38.700-0700,91.210.104.143,,GET,-,http://topyn.com/ips.txt,npearce@buttercupgames.com,13,24,10,july,38,wednesday,2013,0,1374671439,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-.,-,-,-,-,-,-,-",NONE,-,2539,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,91.210.104.143,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-6,IW_porn,Porn,-
"1374653306.750 208 123.118.73.155 TCP_DENIED/403 2535 GET http://virginzclub.com/ emaxwell@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,-6.9,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-24T01:08:26.750-0700,123.118.73.155,,GET,-,http://virginzclub.com/,emaxwell@buttercupgames.com,8,24,8,july,26,wednesday,2013,0,1374653307,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./_@._/-_-_-----_<,-.,-,-,-,-,-,-,-,",NONE,-,2535,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,123.118.73.155,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-6.9,IW_porn,Porn,-
"1374464341.808 485 81.11.191.113 TCP_MISS/301 575 GET http://www.ecrush.com/ fbryan@buttercupgames.com DIRECT/www.ecrush.com text/html DEFAULT_CASE-DefaultGroup-Demo_Clients-NONE-NONE-DefaultRouting <IW_date,-0.2,0,-,-,-,-,0,-,-,-,-,-,-,-,IW_date,-> - -",2013-07-21T20:39:01.808-0700,81.11.191.113,,GET,text/html,http://www.ecrush.com/,fbryan@buttercupgames.com,3,22,39,july,1,monday,2013,0,1374464342,ironport_proxy,network_syslog1,main,1,".__..._/___://../_@._/.._/_-----_<,-.,,-,-,-,-,,-,",DIRECT,www.ecrush.com,575,301,TCP_MISS,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,81.11.191.113,,,,14,0,Violation,DEFAULT_CASE-DefaultGroup-Demo_Clients-NONE-NONE-DefaultRouting,-,-0.2,IW_date,Dating,-
"1374394051.328 128 121.9.245.177 TCP_DENIED/403 2515 GET http://webporn.ru/ pbunch@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-21T01:07:31.328-0700,121.9.245.177,,GET,-,http://webporn.ru/,pbunch@buttercupgames.com,8,21,7,july,31,sunday,2013,0,1374394051,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./_@._/-_-_-----_<,-,-,-,-,-,-,-,-,-",NONE,-,2515,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,121.9.245.177,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_porn,Porn,-
"1374380289.263 994 24.185.15.226 TCP_DENIED/403 2563 GET http://adultsexkey.com/k2c.php fbryan@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,-8.5,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-20T21:18:09.263-0700,24.185.15.226,,GET,-,http://adultsexkey.com/k2c.php,fbryan@buttercupgames.com,4,21,18,july,9,sunday,2013,0,1374380289,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./._@._/-_-_-----_<,-.,-,-,-,-,-,-,-",NONE,-,2563,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,24.185.15.226,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-8.5,IW_porn,Porn,-
"1374108766.692 231 198.35.1.10 TCP_DENIED/403 2680 GET http://wwwtop5.com/search.php?q=star%20war%20porn%20cartoon yowen@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_adlt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_adlt,-> - -",2013-07-17T17:52:46.692-0700,198.35.1.10,,GET,-,http://wwwtop5.com/search.php?q=star%20war%20porn%20cartoon,yowen@buttercupgames.com,0,18,52,july,46,thursday,2013,0,1374108767,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://./.?=%%%_@._/-_-_-----_<,-,-,-,-,-,-",NONE,-,2680,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,198.35.1.10,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,-,IW_adlt,Adult,-
"1373983073.400 116 87.194.216.51 TCP_DENIED/403 2535 GET http://top-shemale.com/ adombrowski@buttercupgames.com NONE/- - BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE <IW_porn,ns,-,-,-,-,-,-,-,-,-,-,-,-,-,IW_porn,-> - -",2013-07-16T06:57:53.400-0700,87.194.216.51,,GET,-,http://top-shemale.com/,adombrowski@buttercupgames.com,13,16,57,july,53,tuesday,2013,0,1373983073,block_view ironport_proxy,network_syslog1,main,1,".__..._/___://-./_@._/-_-_-----_<,,-,-,-,-,-,-,-,-",NONE,-,2535,403,TCP_DENIED,4-Information,/opt/log/network_syslog1/cisco_ironport_web.log,cisco_wsa_squid,splunk.mycompany.com,87.194.216.51,,,,14,0,Violation,BLOCK_WEBCAT-DefaultGroup-Demo_Clients-NONE-NONE-NONE,-,ns,IW_porn,Porn,-
